n,r,m
(:Entity {name: Siva}),[:REL {type: Killed}],(:Entity {name: Tripura})
(:Entity {name: Siva}),[:REL {type: Also Known As}],(:Entity {name: Uma-pati})
(:Entity {name: Siva}),[:REL {type: Also Known As}],(:Entity {name: Vaidyanatha})
(:Entity {name: Agnishwattas}),[:REL {type: Are}],(:Entity {name: Pitris})
(:Entity {name: Agnishwattas}),[:REL {type: Descendants Of}],(:Entity {name: Marichi})
(:Entity {name: Agnishwattas}),[:REL {type: Identified With}],(:Entity {name: Seasons})
(:Entity {name: Ahalya}),[:REL {type: Made By}],(:Entity {name: Brahma})
(:Entity {name: Ahalya}),[:REL {type: Seduced By}],(:Entity {name: Indra})
(:Entity {name: Ahalya}),[:REL {type: Restored By}],(:Entity {name: Rama})
(:Entity {name: Ahalya}),[:REL {type: Wife Of}],(:Entity {name: Gautama})
(:Entity {name: Ahalya}),[:REL {type: Was Rendered  Invisible By}],(:Entity {name: Gautama})
(:Entity {name: Ahalya}),[:REL {type: Reconciled To}],(:Entity {name: Gautama})
(:Entity {name: Ahalya}),[:REL {type: wife}],(:Entity {name: Gautama})
(:Entity {name: Gautama}),[:REL {type: cursed}],(:Entity {name: Indra})
(:Entity {name: Moon}),[:REL {type: Assumed Form Of}],(:Entity {name: Cock})
(:Entity {name: Moon}),[:REL {type: Produced From}],(:Entity {name: Churning of the Ocean})
(:Entity {name: Ahi-Chhatra}),[:REL {type: Also Known As}],(:Entity {name: Ahi-Kshetra})
(:Entity {name: Ahi-Chhatra}),[:REL {type: Is}],(:Entity {name: City})
(:Entity {name: Ahi-Chhatra}),[:REL {type: Located North of The}],(:Entity {name: Ganges})
(:Entity {name: Ahi-Chhatra}),[:REL {type: Capital Of}],(:Entity {name: Northern Panchala})
(:Entity {name: Ahi-Chhatra}),[:REL {type: Identified As}],(:Entity {name: Adisadra of Ptolemy})
(:Entity {name: Remains of Ahi-Chhatra}),[:REL {type: Visible Near}],(:Entity {name: Ramnagar})
(:Entity {name: Aindri}),[:REL {type: Is Appellation Of}],(:Entity {name: Arjuna})
(:Entity {name: Airavata}),[:REL {type: Appropriated By}],(:Entity {name: Indra})
(:Entity {name: Airavata}),[:REL {type: elephant of}],(:Entity {name: Indra})
(:Entity {name: Airavata}),[:REL {type: Is}],(:Entity {name: Elephant})
(:Entity {name: Airavata}),[:REL {type: Produced At}],(:Entity {name: Churning of the Ocean})
(:Entity {name: Airavata}),[:REL {type: Derived From}],(:Entity {name: Iravat})
(:Entity {name: Airavata}),[:REL {type: Guardian Of One of the Points of}],(:Entity {name: Compass})
(:Entity {name: Iravat}),[:REL {type: Means}],(:Entity {name: Produced from Water})
(:Entity {name: Iravat}),[:REL {type: Son Of}],(:Entity {name: Ulupi})
(:Entity {name: Aitareya}),[:REL {type: Is Brahmana of}],(:Entity {name: Rig-veda})
(:Entity {name: Aitareya}),[:REL {type: Is Aranyaka of}],(:Entity {name: Rig-veda})
(:Entity {name: Aitareya}),[:REL {type: Is Upanishad of}],(:Entity {name: Rig-veda})
(:Entity {name: Aja}),[:REL {type: Grandfather Of}],(:Entity {name: Rama})
(:Entity {name: Aja}),[:REL {type: Means}],(:Entity {name: Unborn})
(:Entity {name: Aja}),[:REL {type: Is Prince of}],(:Entity {name: Solar Race})
(:Entity {name: Aja}),[:REL {type: Son Of}],(:Entity {name: Raghu})
(:Entity {name: Aja}),[:REL {type: Son Of}],(:Entity {name: Dilipa})
(:Entity {name: Aja}),[:REL {type: Husband Of}],(:Entity {name: Indumati})
(:Entity {name: Aja}),[:REL {type: Father Of}],(:Entity {name: Dasaratha})
(:Entity {name: Aja}),[:REL {type: Given Arrows By}],(:Entity {name: Gandharva})
(:Entity {name: Aja}),[:REL {type: Used Arrows To Excel In}],(:Entity {name: Swayam-vara Contest})
(:Entity {name: Aja}),[:REL {type: Ascended To}],(:Entity {name: Indra's Heaven})
(:Entity {name: Indumati}),[:REL {type: Daughter Of}],(:Entity {name: Raja of Vidarbha})
(:Entity {name: Gandharva}),[:REL {type: Was Released from Wild Elephant By}],(:Entity {name: Aja})
(:Entity {name: Gandharva}),[:REL {type: Transformed Into}],(:Entity {name: Mad Elephant})
(:Entity {name: Ajagava}),[:REL {type: Is}],(:Entity {name: Primitive Bow of Shiva})
(:Entity {name: Ajamilā}),[:REL {type: Is}],(:Entity {name: Brahman of Kanauj})
(:Entity {name: Ajamilā}),[:REL {type: Married}],(:Entity {name: A Slave})
(:Entity {name: Ajata-Satru (Kasi)}),[:REL {type: King Of}],(:Entity {name: Kasi})
(:Entity {name: Ajata-Satru (Kasi)}),[:REL {type: Mentioned In}],(:Entity {name: Upanishads})
(:Entity {name: Ajata-Satru (Kasi)}),[:REL {type: Instructed}],(:Entity {name: Brahman Gargya-balaki})
(:Entity {name: Ajata-Satru (Kasi)}),[:REL {type: Is}],(:Entity {name: Kshatriya})
(:Entity {name: Kshatriya}),[:REL {type: Is A}],(:Entity {name: Varna})
(:Entity {name: Ajata-Satru}),[:REL {type: Name Of}],(:Entity {name: Siva})
(:Entity {name: Ajata-Satru}),[:REL {type: Name Of}],(:Entity {name: Yudhi-shthira})
(:Entity {name: Ajata-Satru (Mathura)}),[:REL {type: King Of}],(:Entity {name: Mathura})
(:Entity {name: Ajata-Satru (Mathura)}),[:REL {type: Reigned During Time of}],(:Entity {name: Buddha})
(:Entity {name: Ajaya-Pala}),[:REL {type: Author Of}],(:Entity {name: Sanskrit Vocabulary})
(:Entity {name: Ajigartta}),[:REL {type: Is}],(:Entity {name: Brahman Rishi})
(:Entity {name: Ajigartta}),[:REL {type: Father Of}],(:Entity {name: Sunahsephas})
(:Entity {name: Ajigartta}),[:REL {type: Sold Son}],(:Entity {name: Sunahsephas})
(:Entity {name: Sunahsephas}),[:REL {type: Son Of}],(:Entity {name: Ajigartta})
(:Entity {name: Sunahsephas}),[:REL {type: Adopted By}],(:Entity {name: Viswamitra})
(:Entity {name: Sunahsephas}),[:REL {type: Also Known As}],(:Entity {name: Devarata})
(:Entity {name: Ajita}),[:REL {type: Title Of}],(:Entity {name: Vishnu})
(:Entity {name: Ajita}),[:REL {type: Name Of}],(:Entity {name: Gods})
(:Entity {name: Ajita}),[:REL {type: Title Of}],(:Entity {name: Siva})
(:Entity {name: Akrura}),[:REL {type: Uncle Of}],(:Entity {name: Krishna})
(:Entity {name: Akrura}),[:REL {type: Kept Gem From}],(:Entity {name: Krishna})
(:Entity {name: Akrura}),[:REL {type: Is}],(:Entity {name: Yadava})
(:Entity {name: Akrura}),[:REL {type: Son Of}],(:Entity {name: Swa-phalka})
(:Entity {name: Akrura}),[:REL {type: Son Of}],(:Entity {name: Gandini})
(:Entity {name: Akrura}),[:REL {type: Holder Of}],(:Entity {name: Syamantaka Gem})
(:Entity {name: Akrura}),[:REL {type: Kept Gem From}],(:Entity {name: Balarama})
(:Entity {name: Akrura}),[:REL {type: Kept Gem From}],(:Entity {name: Satyabhama})
(:Entity {name: Yadava}),[:REL {type: Descendant of}],(:Entity {name: Yadu})
(:Entity {name: Aksha}),[:REL {type: Eldest Son Of}],(:Entity {name: Ravana})
(:Entity {name: Aksha}),[:REL {type: Slain By}],(:Entity {name: Hanuman})
(:Entity {name: Aksha}),[:REL {type: Name Of}],(:Entity {name: Garuda})
(:Entity {name: Ravana}),[:REL {type: enemy}],(:Entity {name: Indra})
(:Entity {name: Ravana}),[:REL {type: king of}],(:Entity {name: Rakshasas})
(:Entity {name: Ravana}),[:REL {type: father of}],(:Entity {name: Aksha})
(:Entity {name: Ravana}),[:REL {type: half-brother of}],(:Entity {name: Kuvera})
(:Entity {name: Ravana}),[:REL {type: expelled}],(:Entity {name: Kuvera})
(:Entity {name: Ravana}),[:REL {type: kidnapped}],(:Entity {name: Sita})
(:Entity {name: Ravana}),[:REL {type: reborn as}],(:Entity {name: Sisupala})
(:Entity {name: Ravana}),[:REL {type: ruled}],(:Entity {name: Lanka})
(:Entity {name: Ravana}),[:REL {type: Son of}],(:Entity {name: Visravas})
(:Entity {name: Ravana}),[:REL {type: father of}],(:Entity {name: Meghanada})
(:Entity {name: Ravana}),[:REL {type: brother}],(:Entity {name: Surpanakha})
(:Entity {name: Ravana}),[:REL {type: also known as}],(:Entity {name: Dasanana})
(:Entity {name: Ravana}),[:REL {type: also known as}],(:Entity {name: Dasa-kantha})
(:Entity {name: Ravana}),[:REL {type: also known as}],(:Entity {name: Pankti-griva})
(:Entity {name: Ravana}),[:REL {type: Son of}],(:Entity {name: Nikasha})
(:Entity {name: Ravana}),[:REL {type: father of}],(:Entity {name: Atikaya})
(:Entity {name: Ravana}),[:REL {type: father of}],(:Entity {name: Devantaka})
(:Entity {name: Ravana}),[:REL {type: father of}],(:Entity {name: Narantaka})
(:Entity {name: Ravana}),[:REL {type: father of}],(:Entity {name: Tri-siras})
(:Entity {name: Hanuman}),[:REL {type: served}],(:Entity {name: Rama})
(:Entity {name: Hanuman}),[:REL {type: enemy}],(:Entity {name: Ravana})
(:Entity {name: Hanuman}),[:REL {type: killed}],(:Entity {name: Gandharvas})
(:Entity {name: Hanuman}),[:REL {type: mother}],(:Entity {name: Anjana})
(:Entity {name: Hanuman}),[:REL {type: also known as}],(:Entity {name: Hanumat})
(:Entity {name: Hanuman}),[:REL {type: son}],(:Entity {name: Pavana})
(:Entity {name: Hanuman}),[:REL {type: burnt}],(:Entity {name: Lanka})
(:Entity {name: Hanuman}),[:REL {type: killed}],(:Entity {name: Kala-nemi})
(:Entity {name: Hanuman}),[:REL {type: also known as}],(:Entity {name: Lankadahi})
(:Entity {name: Hanuman}),[:REL {type: also known as}],(:Entity {name: Marutputra})
(:Entity {name: Hanuman}),[:REL {type: also known as}],(:Entity {name: Anjaneya})
(:Entity {name: Hanuman}),[:REL {type: also known as}],(:Entity {name: Anili})
(:Entity {name: Hanuman}),[:REL {type: also known as}],(:Entity {name: Maruti})
(:Entity {name: Hanuman}),[:REL {type: also known as}],(:Entity {name: Yoga-chara})
(:Entity {name: Hanuman}),[:REL {type: also known as}],(:Entity {name: Rajatadyuti})
(:Entity {name: Garuda}),[:REL {type: mount of}],(:Entity {name: Vishnu})
(:Entity {name: Garuda}),[:REL {type: father}],(:Entity {name: Kasyapa})
(:Entity {name: Garuda}),[:REL {type: fought}],(:Entity {name: Indra})
(:Entity {name: Garuda}),[:REL {type: Wounded}],(:Entity {name: Skanda})
(:Entity {name: Garuda}),[:REL {type: Stole}],(:Entity {name: Amrita})
(:Entity {name: Garuda}),[:REL {type: mother}],(:Entity {name: Vinata})
(:Entity {name: Garuda}),[:REL {type: enemy}],(:Entity {name: Serpents})
(:Entity {name: Garuda}),[:REL {type: son}],(:Entity {name: Sampati})
(:Entity {name: Garuda}),[:REL {type: wife}],(:Entity {name: Unnati})
(:Entity {name: Garuda}),[:REL {type: wife}],(:Entity {name: Vinayaka})
(:Entity {name: Garuda}),[:REL {type: also known as}],(:Entity {name: Vinayaka})
(:Entity {name: Garuda}),[:REL {type: also known as}],(:Entity {name: Kasyapi})
(:Entity {name: Garuda}),[:REL {type: also known as}],(:Entity {name: Vainateya})
(:Entity {name: Garuda}),[:REL {type: Also Known As}],(:Entity {name: Vainateya})
(:Entity {name: Garuda}),[:REL {type: also known as}],(:Entity {name: Supama})
(:Entity {name: Garuda}),[:REL {type: also known as}],(:Entity {name: Garutman})
(:Entity {name: Garuda}),[:REL {type: also known as}],(:Entity {name: Dakshaya})
(:Entity {name: Garuda}),[:REL {type: also known as}],(:Entity {name: Salmali})
(:Entity {name: Garuda}),[:REL {type: also known as}],(:Entity {name: Tarkshya})
(:Entity {name: Garuda}),[:REL {type: also known as}],(:Entity {name: Nagantaka})
(:Entity {name: Garuda}),[:REL {type: also known as}],(:Entity {name: Pannaga-nasana})
(:Entity {name: Garuda}),[:REL {type: also known as}],(:Entity {name: Sarparati})
(:Entity {name: Garuda}),[:REL {type: also known as}],(:Entity {name: Vishnuratha})
(:Entity {name: Garuda}),[:REL {type: also known as}],(:Entity {name: Amritaharana})
(:Entity {name: Garuda}),[:REL {type: also known as}],(:Entity {name: Sudhahara})
(:Entity {name: Garuda}),[:REL {type: also known as}],(:Entity {name: Surendrajit})
(:Entity {name: Garuda}),[:REL {type: also known as}],(:Entity {name: Vajrajit})
(:Entity {name: Akshamala}),[:REL {type: Name Of}],(:Entity {name: Arundhati})
(:Entity {name: Akuli}),[:REL {type: Is}],(:Entity {name: Asura Priest})
(:Entity {name: Akupara}),[:REL {type: Is}],(:Entity {name: Tortoise})
(:Entity {name: Akupara}),[:REL {type: Is}],(:Entity {name: Turtle})
(:Entity {name: Akupara}),[:REL {type: Tortoise On Which}],(:Entity {name: Earth Rests})
(:Entity {name: Akuti}),[:REL {type: Daughter Of}],(:Entity {name: Manu Swayambhuva})
(:Entity {name: Akuti}),[:REL {type: Daughter Of}],(:Entity {name: Sata-rupa})
(:Entity {name: Akuti}),[:REL {type: Wife Of}],(:Entity {name: Patriarch Ruchi})
(:Entity {name: Akuti}),[:REL {type: Mother Of}],(:Entity {name: Yajna})
(:Entity {name: Akuti}),[:REL {type: Mother Of}],(:Entity {name: Dakshina})
(:Entity {name: Manu Swayambhuva}),[:REL {type: Father Of}],(:Entity {name: Priya-vrata})
(:Entity {name: Manu Swayambhuva}),[:REL {type: Father Of}],(:Entity {name: Uttanapada})
(:Entity {name: Yajna}),[:REL {type: Husband Of}],(:Entity {name: Dakshina})
(:Entity {name: Yajna}),[:REL {type: Husband of}],(:Entity {name: Dakshina})
(:Entity {name: Yajna}),[:REL {type: Killed by}],(:Entity {name: Virabhadra})
(:Entity {name: Yajna}),[:REL {type: Son of}],(:Entity {name: Ruchi})
(:Entity {name: Dakshina}),[:REL {type: Wife Of}],(:Entity {name: Yajna})
(:Entity {name: Yajna and Dakshina}),[:REL {type: Parents Of}],(:Entity {name: Twelve Sons (Yamas)})
(:Entity {name: Alaka}),[:REL {type: Capital Of}],(:Entity {name: Kuvera})
(:Entity {name: Alaka}),[:REL {type: Abode Of}],(:Entity {name: Gandharvas})
(:Entity {name: Alaka}),[:REL {type: Located On}],(:Entity {name: Mount Meru})
(:Entity {name: Alaka}),[:REL {type: Also Called}],(:Entity {name: Vasu-dhara})
(:Entity {name: Alaka}),[:REL {type: Also Called}],(:Entity {name: Vasu-sthali})
(:Entity {name: Alaka}),[:REL {type: Also Called}],(:Entity {name: Prabha})
(:Entity {name: Kuvera}),[:REL {type: Gave Weapon To}],(:Entity {name: Arjuna})
(:Entity {name: Kuvera}),[:REL {type: Son of}],(:Entity {name: Visravas})
(:Entity {name: Gandharvas}),[:REL {type: Captured}],(:Entity {name: Duryodhana})
(:Entity {name: Alaka-nanda}),[:REL {type: Branch Of}],(:Entity {name: River Ganga})
(:Entity {name: Alaka-nanda}),[:REL {type: Flows To}],(:Entity {name: Country of Bharata})
(:Entity {name: Alaka-nanda}),[:REL {type: Terrestrial Ganga Received By}],(:Entity {name: Siva upon his Head})
(:Entity {name: Alambusha}),[:REL {type: Is}],(:Entity {name: Rakshasa})
(:Entity {name: Alambusha}),[:REL {type: Worsted By}],(:Entity {name: Satyaki})
(:Entity {name: Alambusha}),[:REL {type: Killed By}],(:Entity {name: Ghatotkacha})
(:Entity {name: Alambusha}),[:REL {type: Son Of}],(:Entity {name: Rishyasringa})
(:Entity {name: Rakshasa}),[:REL {type: Created by}],(:Entity {name: Paravasu's sacrifice})
(:Entity {name: Ghatotkacha}),[:REL {type: son}],(:Entity {name: Bhima})
(:Entity {name: Alayudha}),[:REL {type: Is}],(:Entity {name: Rakshasa})
(:Entity {name: Alayudha}),[:REL {type: Killed By}],(:Entity {name: Ghatotkacha})
(:Entity {name: Amara-Kantaka}),[:REL {type: Is}],(:Entity {name: Place of Pilgrimage})
(:Entity {name: Amara-Kantaka}),[:REL {type: Located in Table-land East of the}],(:Entity {name: Vindhyas})
(:Entity {name: Amara-Kosha}),[:REL {type: Authored By}],(:Entity {name: Amara Sinha})
(:Entity {name: Amara Sinha}),[:REL {type: Author Of}],(:Entity {name: Amara-Kosha})
(:Entity {name: Amara Sinha}),[:REL {type: One Of Nine Gems of court Of}],(:Entity {name: Vikrama})
(:Entity {name: Amaravati}),[:REL {type: Is Capital of Heaven of}],(:Entity {name: Indra})
(:Entity {name: Amaravati}),[:REL {type: Situated Near}],(:Entity {name: Meru})
(:Entity {name: Amaravati}),[:REL {type: Also Called}],(:Entity {name: Deva-pura})
(:Entity {name: Amaravati}),[:REL {type: Also Called}],(:Entity {name: Pushabhāsa})
(:Entity {name: Pushabhāsa}),[:REL {type: Also Called}],(:Entity {name: Sun-splendour})
(:Entity {name: Amareswara}),[:REL {type: Title Of}],(:Entity {name: Vishnu})
(:Entity {name: Amareswara}),[:REL {type: Title Of}],(:Entity {name: Indra})
(:Entity {name: Amareswara}),[:REL {type: Title Of}],(:Entity {name: Siva})
(:Entity {name: Amareswara}),[:REL {type: Name Of One of the}],(:Entity {name: Twelve Great Lingas})
(:Entity {name: Amaru-Sataka}),[:REL {type: Is Poem of}],(:Entity {name: Hundred Stanzas})
(:Entity {name: Amaru-Sataka}),[:REL {type: Written By}],(:Entity {name: King Amaru})
(:Entity {name: Amaru-Sataka}),[:REL {type: Attributed To}],(:Entity {name: Philosopher Sankara})
(:Entity {name: Sankara}),[:REL {type: Assumed Dead Form Of}],(:Entity {name: King Amaru})
(:Entity {name: Amba}),[:REL {type: Means}],(:Entity {name: Mother})
(:Entity {name: Amba}),[:REL {type: Name Of}],(:Entity {name: Durga})
(:Entity {name: Amba}),[:REL {type: Eldest Daughter Of}],(:Entity {name: King of Kasi})
(:Entity {name: Amba}),[:REL {type: Engaged In Devotion for Revenge Against}],(:Entity {name: Bhishma})
(:Entity {name: Amba}),[:REL {type: Carried Off By}],(:Entity {name: Bhishma})
(:Entity {name: Amba}),[:REL {type: Betrothed To}],(:Entity {name: Raja of Salwa})
(:Entity {name: Amba}),[:REL {type: Born Again As}],(:Entity {name: Sikhandin})
(:Entity {name: Durga}),[:REL {type: Wife Of}],(:Entity {name: Siva})
(:Entity {name: Durga}),[:REL {type: Commentator Of}],(:Entity {name: Nirukta})
(:Entity {name: Durga}),[:REL {type: Killed}],(:Entity {name: Sumbha})
(:Entity {name: Durga}),[:REL {type: Killed}],(:Entity {name: Nishumbha})
(:Entity {name: Durga}),[:REL {type: Killed}],(:Entity {name: Chanda})
(:Entity {name: Durga}),[:REL {type: Killed}],(:Entity {name: Munda})
(:Entity {name: Durga}),[:REL {type: Vahana}],(:Entity {name: Tiger})
(:Entity {name: Ambika}),[:REL {type: Sister Of}],(:Entity {name: Amba})
(:Entity {name: Ambika}),[:REL {type: Carried Off By}],(:Entity {name: Bhishma})
(:Entity {name: Ambika}),[:REL {type: Elder Widow Of}],(:Entity {name: Vichitra-virya})
(:Entity {name: Ambika}),[:REL {type: Sister Of}],(:Entity {name: Rudra})
(:Entity {name: Ambika}),[:REL {type: Identified With}],(:Entity {name: Uma})
(:Entity {name: Ambika}),[:REL {type: Mother Of}],(:Entity {name: Dhrita-rashira})
(:Entity {name: Ambalika}),[:REL {type: Sister Of}],(:Entity {name: Amba})
(:Entity {name: Ambalika}),[:REL {type: Carried Off By}],(:Entity {name: Bhishma})
(:Entity {name: Ambalika}),[:REL {type: Younger Widow Of}],(:Entity {name: Vichitra-virya})
(:Entity {name: Ambalika}),[:REL {type: Mother Of}],(:Entity {name: Pandu})
(:Entity {name: Bhishma}),[:REL {type: Fought Against}],(:Entity {name: Arjuna})
(:Entity {name: Bhishma}),[:REL {type: Son Of}],(:Entity {name: Santanu})
(:Entity {name: Bhishma}),[:REL {type: Trainer Of}],(:Entity {name: Pandavas})
(:Entity {name: Bhishma}),[:REL {type: Trainer Of}],(:Entity {name: Kauravas})
(:Entity {name: Bhishma}),[:REL {type: Commander Of}],(:Entity {name: Kauravas})
(:Entity {name: Bhishma}),[:REL {type: Son Of}],(:Entity {name: Ganga})
(:Entity {name: Bhishma}),[:REL {type: Also Known As}],(:Entity {name: Santanava})
(:Entity {name: Bhishma}),[:REL {type: Also Known As}],(:Entity {name: Gangeya})
(:Entity {name: Bhishma}),[:REL {type: Also Known As}],(:Entity {name: Nadija})
(:Entity {name: Bhishma}),[:REL {type: Guardian Of}],(:Entity {name: Widows of Vichitravirya})
(:Entity {name: Bhishma}),[:REL {type: Also Known As}],(:Entity {name: Tarpanechchhu})
(:Entity {name: Bhishma}),[:REL {type: Also Known As}],(:Entity {name: Talaketu})
(:Entity {name: Raja of Salwa}),[:REL {type: Rejected}],(:Entity {name: Amba})
(:Entity {name: Sikhandin}),[:REL {type: Slew}],(:Entity {name: Bhishma})
(:Entity {name: Sikhandin}),[:REL {type: Wounded}],(:Entity {name: Bhishma})
(:Entity {name: Pandu}),[:REL {type: Son Of}],(:Entity {name: Krishna Dwaipayana})
(:Entity {name: Vyasa}),[:REL {type: Also known as}],(:Entity {name: Krishna})
(:Entity {name: Vyasa}),[:REL {type: Father Of}],(:Entity {name: Pandu})
(:Entity {name: Vyasa}),[:REL {type: Father of}],(:Entity {name: Pandu})
(:Entity {name: Vyasa}),[:REL {type: Father Of}],(:Entity {name: Dhrita-rashira})
(:Entity {name: Vyasa}),[:REL {type: dictated to}],(:Entity {name: Ganesa})
(:Entity {name: Vyasa}),[:REL {type: Son of}],(:Entity {name: Satyavati})
(:Entity {name: Vyasa}),[:REL {type: blessed}],(:Entity {name: Gandhari})
(:Entity {name: Vyasa}),[:REL {type: Also known as}],(:Entity {name: Kanina})
(:Entity {name: Vyasa}),[:REL {type: Son of}],(:Entity {name: Parasara})
(:Entity {name: Vyasa}),[:REL {type: Father of}],(:Entity {name: Dhritarashira})
(:Entity {name: Vyasa}),[:REL {type: Also known as}],(:Entity {name: Dwaipayana})
(:Entity {name: Ambarisha}),[:REL {type: Appellation Of}],(:Entity {name: Siva})
(:Entity {name: Ambarisha}),[:REL {type: King Of}],(:Entity {name: Ayodhya})
(:Entity {name: Ambarisha}),[:REL {type: Twenty-eighth Descendant Of}],(:Entity {name: Ikshwaku})
(:Entity {name: Ambarisha}),[:REL {type: Name Of One of the}],(:Entity {name: Eighteen Hells})
(:Entity {name: Ambastha}),[:REL {type: Military People Of}],(:Entity {name: Panjab})
(:Entity {name: Ambastha}),[:REL {type: Medical Tribe In}],(:Entity {name: Manu})
(:Entity {name: Manu}),[:REL {type: Son Of}],(:Entity {name: Viraj})
(:Entity {name: Manu}),[:REL {type: Also Known As}],(:Entity {name: Vairaj})
(:Entity {name: Rudra}),[:REL {type: Pierced}],(:Entity {name: Prajapati})
(:Entity {name: Uma}),[:REL {type: Wife Of}],(:Entity {name: Siva})
(:Entity {name: Uma}),[:REL {type: Consort Of}],(:Entity {name: Siva})
(:Entity {name: Uma}),[:REL {type: Also Known As}],(:Entity {name: Vach})
(:Entity {name: Uma}),[:REL {type: Second Birth Of}],(:Entity {name: Sati})
(:Entity {name: Ambikeya}),[:REL {type: Metronymic Of}],(:Entity {name: Dhrita-rashira})
(:Entity {name: Ambikeya}),[:REL {type: Metronymic Of}],(:Entity {name: Ganesa})
(:Entity {name: Ambikeya}),[:REL {type: Metronymic Of}],(:Entity {name: Skanda})
(:Entity {name: Ganesa}),[:REL {type: son}],(:Entity {name: Siva})
(:Entity {name: Ganesa}),[:REL {type: son}],(:Entity {name: Parvati})
(:Entity {name: Ganesa}),[:REL {type: also known as}],(:Entity {name: Ganapati})
(:Entity {name: Ganesa}),[:REL {type: wrote}],(:Entity {name: Mahabharata})
(:Entity {name: Ganesa}),[:REL {type: also known as}],(:Entity {name: Ekadanta})
(:Entity {name: Ganesa}),[:REL {type: also known as}],(:Entity {name: Ekadanshira})
(:Entity {name: Ganesa}),[:REL {type: also known as}],(:Entity {name: Akhuratha})
(:Entity {name: Ganesa}),[:REL {type: also known as}],(:Entity {name: Gajanana})
(:Entity {name: Ganesa}),[:REL {type: also known as}],(:Entity {name: Gajavadana})
(:Entity {name: Ganesa}),[:REL {type: also known as}],(:Entity {name: Karimukha})
(:Entity {name: Ganesa}),[:REL {type: also known as}],(:Entity {name: Heramba})
(:Entity {name: Ganesa}),[:REL {type: also known as}],(:Entity {name: Lambakarna})
(:Entity {name: Ganesa}),[:REL {type: also known as}],(:Entity {name: Lambodara})
(:Entity {name: Ganesa}),[:REL {type: also known as}],(:Entity {name: Dwideha})
(:Entity {name: Ganesa}),[:REL {type: also known as}],(:Entity {name: Vighnesa})
(:Entity {name: Ganesa}),[:REL {type: also known as}],(:Entity {name: Vighna-hari})
(:Entity {name: Ganesa}),[:REL {type: also known as}],(:Entity {name: Dwai-matura})
(:Entity {name: Ganesa}),[:REL {type: Vahana}],(:Entity {name: Rat})
(:Entity {name: Skanda}),[:REL {type: Also known as}],(:Entity {name: Karttikeya})
(:Entity {name: Skanda}),[:REL {type: God of}],(:Entity {name: War})
(:Entity {name: Amnaya}),[:REL {type: Refers To Aggregate of the}],(:Entity {name: Vedas})
(:Entity {name: Amrita}),[:REL {type: Was Beseeched By Gods From}],(:Entity {name: Vishnu})
(:Entity {name: Amrita}),[:REL {type: Known To}],(:Entity {name: Vedas})
(:Entity {name: Amrita}),[:REL {type: Produced At}],(:Entity {name: Churning of the Ocean})
(:Entity {name: Amrita}),[:REL {type: Is}],(:Entity {name: God})
(:Entity {name: Amrita}),[:REL {type: Is}],(:Entity {name: Water of Life})
(:Entity {name: Amrita}),[:REL {type: Also Called}],(:Entity {name: Nir-jara})
(:Entity {name: Amrita}),[:REL {type: Also Called}],(:Entity {name: Piyusha})
(:Entity {name: Amrita}),[:REL {type: Told In}],(:Entity {name: Ramayana})
(:Entity {name: Amrita}),[:REL {type: Told In}],(:Entity {name: Maha-bharata})
(:Entity {name: Amrita}),[:REL {type: Told In}],(:Entity {name: Puranas})
(:Entity {name: Mandara}),[:REL {type: Used As}],(:Entity {name: Churning Stick})
(:Entity {name: Vasuki}),[:REL {type: Used As}],(:Entity {name: Churning Rope})
(:Entity {name: Vasuki}),[:REL {type: King Of}],(:Entity {name: Nagas})
(:Entity {name: Vasuki}),[:REL {type: Coiled Around}],(:Entity {name: Mount Mandara})
(:Entity {name: Hari}),[:REL {type: Also Known As}],(:Entity {name: Vishnu})
(:Entity {name: Hari}),[:REL {type: Took Form Of}],(:Entity {name: Kurma})
(:Entity {name: Surabhi}),[:REL {type: Produced From}],(:Entity {name: Churning of the Ocean})
(:Entity {name: Varuni}),[:REL {type: Produced From}],(:Entity {name: Churning of the Ocean})
(:Entity {name: Parijata}),[:REL {type: Produced From}],(:Entity {name: Churning of the Ocean})
(:Entity {name: Apsarasas}),[:REL {type: Produced From}],(:Entity {name: Churning of the Ocean})
(:Entity {name: Mahadeva}),[:REL {type: Seized}],(:Entity {name: Moon})
(:Entity {name: Poison}),[:REL {type: Produced From}],(:Entity {name: Churning of the Ocean})
(:Entity {name: Snake-gods}),[:REL {type: Claimed}],(:Entity {name: Poison})
(:Entity {name: Lakshmi}),[:REL {type: wife}],(:Entity {name: Vishnu})
(:Entity {name: Lakshmi}),[:REL {type: Produced From}],(:Entity {name: Churning of the Ocean})
(:Entity {name: Lakshmi}),[:REL {type: mother}],(:Entity {name: Kama})
(:Entity {name: Lakshmi}),[:REL {type: also known as}],(:Entity {name: Sita})
(:Entity {name: Lakshmi}),[:REL {type: incarnated as}],(:Entity {name: Sita})
(:Entity {name: Lakshmi}),[:REL {type: daughter}],(:Entity {name: Bhrigu})
(:Entity {name: Lakshmi}),[:REL {type: also known as}],(:Entity {name: Rukmini})
(:Entity {name: Lakshmi}),[:REL {type: mother}],(:Entity {name: Khyati})
(:Entity {name: Lakshmi}),[:REL {type: also known as}],(:Entity {name: Sri})
(:Entity {name: Lakshmi}),[:REL {type: also known as}],(:Entity {name: Padma})
